2025-08-20 21:38:44.488860,Hola,desconocida,"No entendí bien, ¿podés repetirlo?"
2025-08-20 21:38:44.667782,Agrega 10 cajas de pepsi,desconocida,"No entendí bien, ¿podés repetirlo?"
2025-08-20 21:38:44.844721,Crea un pedido de 5 botellas de agua para Juan,eliminar_pedido,No estoy seguro de cómo ayudarte con eso.
2025-08-20 21:38:45.026634,Asigna la ruta al pedido 1 en zona 12,eliminar_pedido,No estoy seguro de cómo ayudarte con eso.
2025-08-20 21:38:45.211064,Muéstrame el inventario,consultar_inventario,No estoy seguro de cómo ayudarte con eso.
2025-08-20 21:38:45.403164,Listar pedidos,desconocida,"No entendí bien, ¿podés repetirlo?"
2025-08-20 21:38:45.599848,Listar rutas,desconocida,"No entendí bien, ¿podés repetirlo?"
2025-08-20 21:38:45.814162,Actualiza el estado del pedido 1 a entregado,eliminar_pedido,No estoy seguro de cómo ayudarte con eso.
2025-08-20 21:38:46.003562,Hasta luego,desconocida,"No entendí bien, ¿podés repetirlo?"
2025-08-20 21:46:46.990999,Hola,desconocida,"No entendí bien, ¿podés repetirlo?"
2025-08-20 21:46:47.127290,Agrega 10 cajas de pepsi,desconocida,"No entendí bien, ¿podés repetirlo?"
2025-08-20 21:46:47.263505,Crea un pedido de 5 botellas de agua para Juan,eliminar_pedido,No estoy seguro de cómo ayudarte con eso.
2025-08-20 21:46:47.422741,Asigna la ruta al pedido 1 en zona 12,eliminar_pedido,No estoy seguro de cómo ayudarte con eso.
2025-08-20 21:46:47.555318,Muéstrame el inventario,consultar_inventario,No estoy seguro de cómo ayudarte con eso.
2025-08-20 21:46:47.699952,Listar pedidos,desconocida,"No entendí bien, ¿podés repetirlo?"
2025-08-20 21:46:47.836117,Listar rutas,desconocida,"No entendí bien, ¿podés repetirlo?"
2025-08-20 21:46:47.967301,Actualiza el estado del pedido 1 a entregado,eliminar_pedido,No estoy seguro de cómo ayudarte con eso.
2025-08-20 21:46:48.100355,Hasta luego,desconocida,"No entendí bien, ¿podés repetirlo?"
